participant_index,stimulus_index,stimulus_type,response_time,tails.0,tails.1,tails.2,tails.3,tails.4,tails.5,tails.6,tails.7,X.2,heads.0,heads.1,heads.2,heads.3,heads.4,heads.5,heads.6,heads.7,X.0,X.1,test.1,mod.0,test.0,mod.7,mod.1,mod.4,mod.3,test.2,mod.6,mod.5,mod.2,prob.1,prob.0,prob.3,prob.2,prob.5,prob.4,prob.7,prob.6
16,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
69,1,psychic,,49,30,53,37,1,13,45,41,,51,70,47,63,99,87,55,59,,,,1,,1,1,1,1,,1,1,1,40,0,30,10,65,60,5,10
69,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
74,1,chickens,,30,45,49,13,53,1,37,41,,70,55,51,87,47,99,63,59,,,,1,,1,1,1,1,,1,1,1,50,70,84,49,97,45,42,32
74,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
84,1,psychic,,37,13,53,45,30,49,41,1,,63,87,47,55,70,51,59,99,,,,1,,1,1,1,1,,1,1,1,50,15,0,0,0,25,95,5
84,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
4,1,chickens,,37,45,30,13,49,53,1,41,,63,55,70,87,51,47,99,59,,,,1,,1,1,1,1,,1,1,1,5,33,75,40,5,5,15,95
4,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
77,1,psychic,,30,1,37,53,13,49,41,45,,70,99,63,47,87,51,59,55,,,,1,,1,1,1,1,,1,1,1,75,0,0,12,18,61,10,16
77,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
66,1,psychic,,30,13,37,41,45,53,1,49,,70,87,63,59,55,47,99,51,,,,1,,1,1,1,1,,1,1,1,65,38,36,48,42,54,44,37
66,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
42,1,chickens,,1,45,30,37,49,41,13,53,,99,55,70,63,51,59,87,47,,,,1,,1,1,1,1,,1,1,1,11,91,53,64,48,50,52,90
42,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
18,1,psychic,,45,37,30,13,1,53,41,49,,55,63,70,87,99,47,59,51,,,,1,,1,1,1,1,,1,1,1,5,40,70,60,5,90,40,25
18,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
46,1,psychic,,37,41,30,45,53,13,49,1,,63,59,70,55,47,87,51,99,,,,1,,1,1,1,1,,1,1,1,0,0,0,0,1,0,2,0
46,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
